Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA
21/01/2012,Schalke 04,Stuttgart,3,1,H,1,0,H,1.8,3.6,4.33,1.87,3.7,4.1
21/01/2012,Wolfsburg,FC Koln,1,0,H,0,0,D,1.8,3.75,4.2,1.8,3.6,4.25
22/01/2012,Hamburg,Dortmund,1,5,A,0,2,A,4.33,3.5,1.83,4.2,3.6,1.88
22/01/2012,Leverkusen,Mainz,3,2,H,2,0,H,1.8,3.5,4.5,1.8,3.5,4.4
27/01/2012,Hannover,Nurnberg,1,0,H,1,0,H,2.2,3.4,3.2,2.15,3.3,3.6
28/01/2012,Augsburg,Kaiserslautern,2,2,D,1,1,D,2.5,3.2,2.88,2.4,3.25,2.9
28/01/2012,Bayern Munich,Wolfsburg,2,0,H,0,0,D,1.17,7,15,1.2,6.75,11.5
28/01/2012,Dortmund,Hoffenheim,3,1,H,2,0,H,1.33,5,9,1.34,4.75,8.75
28/01/2012,FC Koln,Schalke 04,1,4,A,1,0,H,4,3.5,1.91,3.8,3.5,2
28/01/2012,Hertha,Hamburg,1,2,A,0,2,A,2.38,3.25,3,2.4,3.4,2.95
28/01/2012,Werder Bremen,Leverkusen,1,1,D,1,0,H,2.2,3.4,3.2,2.3,3.4,2.95
29/01/2012,Mainz,Freiburg,3,1,H,3,0,H,1.67,3.75,5,1.7,3.6,5
29/01/2012,Stuttgart,M'gladbach,0,3,A,0,1,A,2.5,3.25,2.8,2.6,3.4,2.7
03/02/2012,Nurnberg,Dortmund,0,2,A,0,0,D,6,4,1.57,5.75,3.9,1.57
04/02/2012,Hamburg,Bayern Munich,1,1,D,1,0,H,6,4,1.53,6.25,3.8,1.55
04/02/2012,Hertha,Hannover,0,1,A,0,0,D,2.4,3.4,2.8,2.5,3.25,2.9
04/02/2012,Hoffenheim,Augsburg,2,2,D,1,1,D,1.62,3.8,5.5,1.6,3.75,5.5
04/02/2012,Leverkusen,Stuttgart,2,2,D,1,1,D,1.75,3.75,4.5,1.72,3.8,4.75
04/02/2012,Schalke 04,Mainz,1,1,D,0,1,A,1.73,3.75,4.5,1.62,3.9,5
04/02/2012,Wolfsburg,M'gladbach,0,0,D,0,0,D,2.88,3.4,2.4,2.75,3.4,2.45
05/02/2012,Freiburg,Werder Bremen,2,2,D,1,1,D,3.2,3.4,2.2,3.25,3.5,2.1
05/02/2012,Kaiserslautern,FC Koln,0,1,A,0,0,D,1.75,3.5,4.75,1.83,3.6,4.4
10/02/2012,Wolfsburg,Freiburg,3,2,H,2,2,D,1.7,3.8,4.75,1.7,3.9,4.75
11/02/2012,Bayern Munich,Kaiserslautern,2,0,H,2,0,H,1.14,8,15,1.14,7.75,15.5
11/02/2012,Dortmund,Leverkusen,1,0,H,1,0,H,1.4,4.5,8,1.4,4.4,7.75
11/02/2012,Mainz,Hannover,1,1,D,1,0,H,1.91,3.4,4,1.95,3.3,3.95
11/02/2012,M'gladbach,Schalke 04,3,0,H,3,0,H,2.38,3.4,2.88,2.4,3.4,2.95
11/02/2012,Stuttgart,Hertha,5,0,H,4,0,H,1.8,3.5,4.5,1.83,3.6,4.1
11/02/2012,Werder Bremen,Hoffenheim,1,1,D,0,1,A,1.83,3.5,4.33,1.91,3.4,4
12/02/2012,Augsburg,Nurnberg,0,0,D,0,0,D,2.7,3.2,2.63,2.7,3.25,2.7
12/02/2012,FC Koln,Hamburg,0,1,A,0,0,D,3.1,3.4,2.25,3,3.5,2.35
17/02/2012,Hoffenheim,Mainz,1,1,D,1,1,D,2.4,3.3,2.9,2.35,3.3,3.1
18/02/2012,Freiburg,Bayern Munich,0,0,D,0,0,D,9,5.5,1.3,9.5,5,1.31
18/02/2012,Hamburg,Werder Bremen,1,3,A,0,2,A,2,3.5,3.6,2.15,3.5,3.4
18/02/2012,Hertha,Dortmund,0,1,A,0,0,D,7,4,1.5,6.5,4,1.5
18/02/2012,Kaiserslautern,M'gladbach,1,2,A,0,2,A,3.2,3.3,2.25,3.3,3.2,2.2
18/02/2012,Leverkusen,Augsburg,4,1,H,1,0,H,1.5,4,7,1.48,4.2,6.5
18/02/2012,Nurnberg,FC Koln,2,1,H,1,0,H,1.73,3.5,5,1.78,3.7,4.6
19/02/2012,Hannover,Stuttgart,4,2,H,2,0,H,2.5,3.3,2.8,2.35,3.2,3
19/02/2012,Schalke 04,Wolfsburg,4,0,H,2,0,H,1.67,3.75,5,1.65,3.8,5
24/02/2012,M'gladbach,Hamburg,1,1,D,1,0,H,1.73,3.75,4.5,1.72,3.7,5
25/02/2012,Augsburg,Hertha,3,0,H,0,0,D,2.6,3.25,2.7,2.8,3.3,2.45
25/02/2012,FC Koln,Leverkusen,0,2,A,0,1,A,3.75,3.6,1.91,3.8,3.5,2
25/02/2012,Mainz,Kaiserslautern,4,0,H,3,0,H,1.73,3.6,4.75,1.75,3.5,4.75
25/02/2012,Stuttgart,Freiburg,4,1,H,2,1,H,1.67,3.75,5,1.72,3.75,4.5
25/02/2012,Werder Bremen,Nurnberg,0,1,A,0,0,D,1.8,3.5,4.5,1.72,3.75,4.5
25/02/2012,Wolfsburg,Hoffenheim,1,2,A,0,1,A,2.2,3.3,3.25,2.25,3.3,3.1
26/02/2012,Bayern Munich,Schalke 04,2,0,H,1,0,H,1.4,4.5,7.5,1.5,4.5,6.25
26/02/2012,Dortmund,Hannover,3,1,H,1,0,H,1.25,5.5,12,1.3,5.25,9
03/03/2012,Dortmund,Mainz,2,1,H,1,0,H,1.3,5,11,1.31,5,9.5
03/03/2012,Freiburg,Schalke 04,2,1,H,1,0,H,3.8,3.6,1.91,4,3.6,1.85
03/03/2012,Hamburg,Stuttgart,0,4,A,0,2,A,2,3.5,3.6,2.05,3.4,3.5
03/03/2012,Hannover,Augsburg,2,2,D,1,1,D,1.73,3.5,5,1.67,3.6,5.25
03/03/2012,Hertha,Werder Bremen,1,0,H,0,0,D,2.5,3.4,2.7,2.5,3.5,2.6
03/03/2012,Kaiserslautern,Wolfsburg,0,0,D,0,0,D,2.3,3.25,3.1,2.3,3.2,3.1
03/03/2012,Leverkusen,Bayern Munich,2,0,H,0,0,D,4.5,3.6,1.8,4.5,3.75,1.78
04/03/2012,Hoffenheim,FC Koln,1,1,D,1,0,H,1.62,3.8,5.5,1.62,3.8,5.25
04/03/2012,Nurnberg,M'gladbach,1,0,H,0,0,D,3,3.25,2.38,3,3.2,2.35
09/03/2012,Stuttgart,Kaiserslautern,0,0,D,0,0,D,1.67,3.75,5,1.65,3.75,5
10/03/2012,Augsburg,Dortmund,0,0,D,0,0,D,8.5,4.75,1.36,7.75,4.4,1.4
10/03/2012,Bayern Munich,Hoffenheim,7,1,H,5,0,H,1.25,5.5,12,1.25,5.75,10.5
10/03/2012,FC Koln,Hertha,1,0,H,1,0,H,2.38,3.25,3,2.45,3.3,2.95
10/03/2012,Mainz,Nurnberg,2,1,H,2,0,H,1.91,3.4,4,1.85,3.5,4.1
10/03/2012,M'gladbach,Freiburg,0,0,D,0,0,D,1.53,4,6,1.53,4.1,5.75
10/03/2012,Wolfsburg,Leverkusen,3,2,H,2,1,H,2.88,3.4,2.38,2.9,3.5,2.4
11/03/2012,Schalke 04,Hamburg,3,1,H,3,1,H,1.83,3.6,4.2,1.78,3.7,4.2
