Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA
06/02/2015,La Coruna,Eibar,2,0,H,0,0,D,2.15,3.25,3.6,2.15,3.1,3.5
07/02/2015,Ath Madrid,Real Madrid,4,0,H,2,0,H,2.88,3.4,2.45,2.9,3.4,2.5
07/02/2015,Levante,Malaga,4,1,H,2,1,H,3.4,3.1,2.3,3,3.1,2.4
07/02/2015,Sociedad,Celta,1,1,D,1,0,H,2.5,3.25,2.9,2.6,3.1,2.75
07/02/2015,Villarreal,Granada,2,0,H,1,0,H,1.3,5.25,11,1.33,4.6,9.75
08/02/2015,Ath Bilbao,Barcelona,2,5,A,0,2,A,9,5.25,1.33,7.75,5,1.35
08/02/2015,Cordoba,Almeria,1,2,A,1,0,H,2.25,3.1,3.5,2.3,3.2,3.1
08/02/2015,Espanol,Valencia,1,2,A,0,0,D,2.8,3.2,2.63,2.65,3.25,2.6
08/02/2015,Getafe,Sevilla,2,1,H,1,0,H,3.8,3.3,2.05,3.4,3.2,2.15
09/02/2015,Elche,Vallecano,2,0,H,1,0,H,2.6,3.2,2.8,2.75,3.2,2.75
13/02/2015,Almeria,Sociedad,2,2,D,2,1,H,2.45,3.2,3,2.45,3,3
14/02/2015,Granada,Ath Bilbao,0,0,D,0,0,D,2.9,3.1,2.63,2.7,3.1,2.65
14/02/2015,Malaga,Espanol,0,2,A,0,1,A,2.1,3.3,3.75,2.1,3.3,3.4
14/02/2015,Real Madrid,La Coruna,2,0,H,1,0,H,1.08,13,21,1.08,10,23
14/02/2015,Sevilla,Cordoba,3,0,H,2,0,H,1.36,5,9,1.36,4.75,8
15/02/2015,Barcelona,Levante,5,0,H,2,0,H,1.05,15,34,1.05,12,26
15/02/2015,Celta,Ath Madrid,2,0,H,0,0,D,3.8,3.25,2.1,3.5,3.25,2.1
15/02/2015,Valencia,Getafe,1,0,H,0,0,D,1.44,4.5,7.5,1.44,4.4,6.75
15/02/2015,Vallecano,Villarreal,2,0,H,0,0,D,3.3,3.4,2.2,3.2,3.3,2.2
16/02/2015,Eibar,Elche,0,1,A,0,0,D,2.15,3.1,3.8,2.2,3.1,3.4
20/02/2015,Getafe,Espanol,2,1,H,1,0,H,2.4,3.1,3.25,2.5,3.2,2.8
21/02/2015,Ath Madrid,Almeria,3,0,H,3,0,H,1.2,6.5,15,1.22,6,12.5
21/02/2015,Barcelona,Malaga,0,1,A,0,1,A,1.11,10,21,1.11,8.25,21
21/02/2015,Cordoba,Valencia,1,2,A,0,1,A,4.33,3.25,1.95,3.8,3.4,1.95
21/02/2015,La Coruna,Celta,0,2,A,0,0,D,3.3,3.2,2.3,3.1,3.2,2.3
22/02/2015,Ath Bilbao,Vallecano,1,0,H,0,0,D,1.91,3.5,4.2,1.91,3.5,3.8
22/02/2015,Elche,Real Madrid,0,2,A,0,0,D,17,7,1.18,12,6.5,1.2
22/02/2015,Sociedad,Sevilla,4,3,H,1,1,D,2.9,3.3,2.5,2.75,3.25,2.5
22/02/2015,Villarreal,Eibar,1,0,H,0,0,D,1.36,4.75,9,1.36,4.75,8
23/02/2015,Levante,Granada,2,1,H,0,1,A,2.3,3.1,3.4,2.3,3.1,3.2
27/02/2015,Espanol,Cordoba,1,0,H,1,0,H,1.57,3.8,6.5,1.57,3.75,6
28/02/2015,Almeria,La Coruna,0,0,D,0,0,D,2.25,3.2,3.4,2.25,3.1,3.3
28/02/2015,Granada,Barcelona,1,3,A,0,1,A,17,7.5,1.17,16.5,6.75,1.17
28/02/2015,Malaga,Getafe,3,2,H,1,0,H,1.75,3.6,5,1.75,3.4,5
28/02/2015,Vallecano,Levante,4,2,H,4,1,H,1.67,3.75,5.5,1.75,3.5,4.75
01/03/2015,Eibar,Ath Bilbao,0,1,A,0,1,A,3.25,3.1,2.38,3,3.1,2.4
01/03/2015,Real Madrid,Villarreal,1,1,D,0,0,D,1.2,7,13,1.25,6,9.75
01/03/2015,Sevilla,Ath Madrid,0,0,D,0,0,D,3,3.2,2.45,2.8,3.2,2.5
01/03/2015,Valencia,Sociedad,2,0,H,0,0,D,1.57,4,6,1.62,3.9,5
02/03/2015,Celta,Elche,1,1,D,0,0,D,1.5,4.2,7,1.53,3.9,6.25
06/03/2015,Levante,Eibar,2,1,H,0,0,D,2.05,3.3,4,2.15,3.25,3.75
07/03/2015,Ath Bilbao,Real Madrid,1,0,H,1,0,H,7,4.75,1.44,6.25,4.6,1.44
07/03/2015,Elche,Almeria,1,0,H,1,0,H,2.05,3.4,3.8,2.15,3.1,3.5
07/03/2015,Granada,Malaga,1,0,H,0,0,D,2.9,3.2,2.6,2.75,2.95,2.7
07/03/2015,La Coruna,Sevilla,3,4,A,1,1,D,3.8,3.4,2.05,3.4,3.25,2.15
08/03/2015,Ath Madrid,Valencia,1,1,D,1,0,H,1.62,3.75,6,1.67,3.75,5
08/03/2015,Barcelona,Vallecano,6,1,H,1,0,H,1.05,15,34,1.07,11,23
08/03/2015,Sociedad,Espanol,1,0,H,1,0,H,2.2,3.3,3.4,2.25,3.2,3.2
08/03/2015,Villarreal,Celta,4,1,H,2,0,H,1.95,3.5,4,1.95,3.5,3.7
09/03/2015,Cordoba,Getafe,1,2,A,0,0,D,2.4,3.1,3.2,2.5,3,3
13/03/2015,Valencia,La Coruna,2,0,H,0,0,D,1.44,4.5,8,1.42,4.25,7.75
14/03/2015,Celta,Ath Bilbao,1,2,A,0,2,A,2.1,3.4,3.6,2.1,3.2,3.5
